type_of_sentence,verb_main_semantic_class,verb_second_semantic_class,verb_third_semantic_class,verb_veridical_positive,verb_veridical_negative,verb_tense,t_negation,presupposition
eliptyczne,epistemiczny,none,none,?,?,past,0,no
1,epistemiczny,percepcyjny,none,o,o,past,1,yes
1,epistemiczny,percepcyjny,none,o,o,past,0,yes
1,percepcyjny,epistemiczny,none,+,+,past,0,yes
1,epistemiczny,none,none,o,+,brak,0,yes
1,epistemiczny,none,none,o,+,brak,0,yes
modalne,epistemiczny,none,none,o,+,present,0,yes
powinnościowe,epistemiczny,none,none,o,+,brak,0,yes
1,emotywny,epistemiczny,none,+,+,present,0,yes
1,epistemiczny,none,none,o,o,past,0,no
1,epistemiczny,none,none,o,o,past,0,no
none,epistemiczny,none,none,o,o,past,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
?,?,none,none,+,+,present,0,yes
1,zdarzeniowy,none,none,+,-,present,0,no
1,zdarzeniowy,none,none,+,-,present,0,no
1,zdarzeniowy,none,none,+,-,present,0,no
1,zdarzeniowy,none,none,+,-,present,0,no
1,zdarzeniowy,none,none,+,-,present,0,no
1,zdarzeniowy,none,none,+,-,present,0,no
1,zdarzeniowy,none,none,+,-,present,0,no
1,zdarzeniowy,none,none,+,-,present,0,no
1,zdarzeniowy,none,none,+,-,present,0,no
1,zdarzeniowy,none,none,+,-,past,0,no
1,zdarzeniowy,none,none,+,-,past,0,no
1,zdarzeniowy,none,none,+,-,past,0,no
1,zdarzeniowy,none,none,+,-,past,0,no
1,zdarzeniowy,none,none,+,-,present,0,no
1,mówienia,emotywny,none,o,o,present,0,yes
1,emotywny,epistemiczny,none,+,+,present,0,yes
1,emotywny,epistemiczny,none,+,+,present,0,yes
1,emotywny,epistemiczny,none,+,+,present,0,yes
1,emotywny,epistemiczny,none,+,+,present,0,yes
1,emotywny,epistemiczny,none,+,+,present,0,yes
1,emotywny,epistemiczny,none,+,+,past,0,yes
1,emotywny,epistemiczny,none,+,+,present,0,yes
1,emotywny,epistemiczny,none,+,+,present,1,yes
1,emotywny,epistemiczny,none,+,+,past,0,yes
1,emotywny,epistemiczny,none,+,+,past,0,yes
1,emotywny,epistemiczny,none,+,+,present,0,yes
1,emotywny,epistemiczny,none,+,+,present,0,yes
1,emotywny,epistemiczny,none,+,+,present,0,yes
1,emotywny,epistemiczny,none,+,+,present,0,yes
1,emotywny,epistemiczny,none,+,+,present,0,yes
1,emotywny,epistemiczny,none,+,+,present,0,yes
1,emotywny,epistemiczny,none,+,+,present,0,yes
1,emotywny,epistemiczny,none,+,+,present,0,yes
1,emotywny,epistemiczny,none,+,+,present,0,yes
1,emotywny,epistemiczny,none,+,+,present,0,yes
1,emotywny,epistemiczny,none,+,+,present,0,yes
1,emotywny,epistemiczny,none,+,+,present,0,yes
1,mówienia,none,none,o,o,present,0,no
1,mówienia,wolicjonalny,none,+,+,past,1,yes
1,percepcyjny,none,none,+,+,past,0,yes
1,czynnościowy,epistemiczny,none,+,+,past,1,yes
1,przyczynowy,epistemiczny,none,o,o,present,0,yes
1,przyczynowy,epistemiczny,none,o,o,past,0,no
1,zdarzeniowy,none,none,+,o,present,0,no
powinnościowe,mówienia,none,none,o,o,present,0,no
1,zdarzeniowy,none,none,+,-,past,0,no
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,past,0,no
1,epistemiczny,none,none,+,+,past,1,yes
1,przyczynowy,none,none,+,o,past,0,no
modalne,percepcyjny,epistemiczny,none,+,+,past,0,yes
1,epistemiczny,percepcyjny,none,+,+,present,0,yes
modalne,epistemiczny,none,none,+,o,past,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,past,0,no
1,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,past,0,no
1,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,past,0,no
1,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,past,0,no
1,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
warunkowe; pytajne,epistemiczny,none,none,+,+,future,0,yes
1,dowodzenia,wnioskowania,mówienia,+,o,past,0,no
1,dowodzenia,wnioskowania,mówienia,+,o,past,0,no
1,dowodzenia,wnioskowania,mówienia,+,o,past,0,no
1,dowodzenia,wnioskowania,mówienia,+,o,past,0,no
1,zdarzeniowy,none,none,+,-,present,0,yes
1,mówienia,wolicjonalny,none,+,+,present,0,yes
1,mówienia,wolicjonalny,none,+,o,present,0,yes
1,mówienia,wolicjonalny,none,+,o,present,0,yes
performatyw,mówienia,wolicjonalny,none,+,o,present,0,yes
1,epistemiczny,none,none,+,+,present,1,yes
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,brak,0,yes
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,present,0,yes
powinnościowe,epistemiczny,none,none,+,+,present,1,yes
none,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,present,1,yes
1,emotywny,epistemiczny,none,+,+,present,0,yes
1,mówienia,emotywny,none,+,?,present,0,no
1,epistemiczny,none,none,o,+,present,1,yes
1,epistemiczny,none,none,o,+,present,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
imperatyw,epistemiczny,wolicjonalny,none,-,-,brak,1,no
1,epistemiczny,wolicjonalny,none,-,-,past,0,yes
1,epistemiczny,wolicjonalny,none,-,-,past,0,yes
1,epistemiczny,wolicjonalny,none,-,-,past,0,yes
1,emotywny,epistemiczny,none,o,o,past,0,yes
1,epistemiczny,wolicjonalny,none,o,o,past,0,no
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
powinnościowe,epistemiczny,none,none,+,+,present,0,yes
1,mówienia,none,none,o,o,past,0,no
1,mówienia,none,none,o,o,past,0,no
1,mówienia,none,none,o,o,present,0,yes
1,mówienia,none,none,o,o,present,0,no
1,mówienia,none,none,o,o,brak,0,no
1,mówienia,none,none,o,o,present,0,no
1,mówienia,none,none,o,o,present,0,no
1,mówienia,none,none,o,o,present,0,no
1,mówienia,none,none,o,o,present,0,no
1,mówienia,none,none,o,o,present,0,yes
1,mówienia,none,none,o,o,present,0,no
modalne,mówienia,none,none,o,o,present,1,yes
1,epistemiczny,none,none,o,o,past,1,no
1,epistemiczny,none,none,o,o,past,0,no
1,epistemiczny,none,none,o,o,past,0,no
1,epistemiczny,none,none,o,o,past,0,no
1,epistemiczny,none,none,o,o,past,0,no
1,epistemiczny,none,none,o,o,past,0,no
1,epistemiczny,none,none,o,o,past,0,no
1,epistemiczny,none,none,o,o,past,0,no
1,epistemiczny,none,none,o,o,past,0,no
1,epistemiczny,none,none,o,o,past,0,no
1,epistemiczny,none,none,o,o,past,0,no
1,epistemiczny,none,none,o,o,past,0,no
1,epistemiczny,none,none,o,o,past,0,no
1,epistemiczny,none,none,o,o,past,0,no
1,epistemiczny,none,none,o,o,past,0,no
1,epistemiczny,none,none,o,o,past,0,no
1,epistemiczny,none,none,o,o,past,0,no
1,epistemiczny,none,none,o,o,past,0,no
1,epistemiczny,none,none,o,o,past,0,no
1,epistemiczny,none,none,o,o,past,0,no
1,epistemiczny,none,none,o,o,present,0,no
1,epistemiczny,none,none,o,o,past,0,no
1,epistemiczny,none,none,o,o,past,0,no
pytajne,epistemiczny,none,none,o,o,present,0,no
modalne,emotywny,epistemiczny,none,+,+,present,0,yes
1,emotywny,epistemiczny,none,+,+,brak,0,yes
1,?,none,none,+,+,present,0,yes
1,?,none,none,+,+,present,0,yes
1,?,none,none,+,+,past,0,yes
1,?,none,none,+,+,past,0,yes
1,?,none,none,+,+,present,0,yes
1,?,none,none,+,+,present,0,yes
1,?,none,none,+,+,present,0,yes
1,?,none,none,+,+,present,0,yes
1,?,none,none,+,+,present,0,yes
1,?,none,none,+,+,present,0,yes
1,?,none,none,+,+,past,0,yes
1,?,none,none,+,+,present,0,yes
1,?,none,none,+,+,present,0,yes
1,?,none,none,+,+,present,0,yes
1,?,none,none,+,+,past,0,yes
1,?,none,none,+,+,present,0,yes
1,?,none,none,+,+,present,0,yes
1,?,none,none,+,+,present,0,yes
1,?,none,none,+,+,past,0,yes
modalne,?,none,none,+,+,past,0,yes
1,emotywny,epistemiczny,none,o,o,past,0,yes
1,mówienia,none,none,o,o,past,0,yes
1,emotywny,epistemiczny,none,+,+,past,0,yes
1,percepcyjny,none,none,+,?,present,0,no
1,odkrycia,none,none,+,?,past,0,no
1,odkrycia,none,none,+,?,past,0,no
1,odkrycia,none,none,+,?,past,0,yes
1,odkrycia,none,none,+,?,past,0,yes
1,odkrycia,none,none,+,?,present,0,yes
?,epistemiczny,none,none,+,+,present,0,yes
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,present,0,no
1,odkrycia,none,none,+,o,present,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
pytajne,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,present,0,no
1,odkrycia,none,none,+,o,present,0,no
1,odkrycia,none,none,+,o,present,0,no
1,odkrycia,none,none,+,o,present,0,no
1,odkrycia,none,none,+,o,present,0,no
1,odkrycia,none,none,+,o,present,0,no
1,odkrycia,none,none,+,o,present,0,no
1,odkrycia,none,none,+,o,present,0,no
1,odkrycia,none,none,+,o,present,0,no
1,odkrycia,none,none,+,o,present,0,no
1,odkrycia,none,none,+,o,present,0,no
1,odkrycia,none,none,+,o,present,0,no
1,odkrycia,none,none,+,o,present,0,no
1,odkrycia,none,none,+,o,present,0,no
1,odkrycia,none,none,+,o,present,0,no
1,odkrycia,none,none,+,o,present,0,no
1,odkrycia,none,none,+,o,present,0,no
1,odkrycia,none,none,+,o,present,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,past,0,no
1,odkrycia,none,none,+,o,present,0,no
1,odkrycia,none,none,+,o,present,0,no
1,odkrycia,none,none,+,o,present,0,no
1,odkrycia,none,none,+,o,present,0,no
1,odkrycia,none,none,+,o,present,0,no
1,odkrycia,none,none,+,o,present,0,no
1,odkrycia,none,none,+,o,present,0,no
1,mówienia,none,none,o,?,present,0,no
1,epistemiczny,none,none,+,?,past,0,no
1,epistemiczny,none,none,+,+,present,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
1,pamięciowy,epistemiczny,none,+,+,past,0,yes
1,pamięciowy,epistemiczny,none,+,+,present,0,yes
1,pamięciowy,epistemiczny,none,+,+,past,0,yes
1,pamięciowy,epistemiczny,none,+,+,present,0,yes
?,pamięciowy,epistemiczny,none,+,+,brak,0,yes
?,pamięciowy,epistemiczny,none,+,+,present,0,yes
?,pamięciowy,epistemiczny,none,+,+,present,0,yes
1,percepcyjny,none,none,+,?,present,0,no
1,epistemiczny,none,none,o,o,past,1,no
1,mówienia,emotywny,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,past,0,yes
modalne,emotywny,epistemiczny,none,+,+,brak,0,no
1,epistemiczny,none,none,o,o,present,1,yes
1,emotywny,epistemiczny,none,+,+,present,0,yes
1,mówienia,none,none,o,?,past,1,no
1,epistemiczny,none,none,+,+,present,0,yes
1,mówienia,wnioskowania,epistemiczny,o,o,past,0,no
1,mówienia,wnioskowania,epistemiczny,o,o,present,0,no
1,mówienia,wnioskowania,epistemiczny,o,o,past,0,no
1,mówienia,wnioskowania,epistemiczny,o,o,past,0,no
1,mówienia,wnioskowania,epistemiczny,o,o,past,0,no
1,mówienia,wnioskowania,epistemiczny,o,o,past,0,no
wolitywne,mówienia,wnioskowania,epistemiczny,o,o,present,0,no
1,mówienia,wnioskowania,epistemiczny,o,o,present,0,no
1,mówienia,wnioskowania,epistemiczny,o,o,present,0,no
1,epistemiczny,none,none,o,o,brak,0,no
1,epistemiczny,none,none,o,o,past,1,no
1,epistemiczny,none,none,o,o,brak,0,no
1,epistemiczny,none,none,o,o,past,0,no
imperatyw,epistemiczny,none,none,o,o,past,1,no
warunkowe; modalne,epistemiczny,none,none,o,o,brak,0,no
modalne,przyczynowy,none,none,+,+,present,1,yes
1,mówienia,none,none,o,o,past,0,no
1,mówienia,none,none,o,o,past,0,no
1,przyczynowy,none,none,+,o,past,0,no
1,przyczynowy,none,none,+,o,present,0,no
1,przyczynowy,none,none,+,o,present,0,no
1,przyczynowy,none,none,+,o,present,0,no
1,epistemiczny,none,none,+,+,future,1,yes
1,epistemiczny,none,none,+,+,past,0,yes
1,percepcyjny,epistemiczny,none,+,+,past,0,yes
1,mówienia,wnioskowania,epistemiczny,o,o,past,0,no
performatyw,mówienia,none,none,+,+,present,0,yes
performatyw,mówienia,none,none,+,+,present,0,no
1,emotywny,epistemiczny,none,+,+,past,0,yes
pytajne,przyczynowy,none,none,+,+,past,0,yes
modalne,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,past,1,yes
1,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,+,+,past,1,yes
pytajne,epistemiczny,none,none,+,+,past,0,yes
1,epistemiczny,none,none,o,o,present,0,yes
performatyw,mówienia,pamięciowy,epistemiczny,+,+,future,0,yes
performatyw,mówienia,pamięciowy,epistemiczny,+,+,present,0,yes
1,mówienia,pamięciowy,epistemiczny,+,+,present,0,yes
1,mówienia,pamięciowy,epistemiczny,+,+,past,0,yes
modalne,mówienia,pamięciowy,epistemiczny,+,+,present,0,yes
performatyw,mówienia,pamięciowy,epistemiczny,+,+,brak,0,yes
performatyw,mówienia,pamięciowy,epistemiczny,+,+,brak,0,yes
performatyw,mówienia,pamięciowy,epistemiczny,+,+,brak,0,yes
1,mówienia,pamięciowy,epistemiczny,+,+,past,0,yes
1,mówienia,pamięciowy,epistemiczny,+,+,past,0,yes
1,mówienia,pamięciowy,epistemiczny,+,+,brak,0,yes
1,mówienia,pamięciowy,epistemiczny,+,+,future,0,yes
1,mówienia,pamięciowy,epistemiczny,+,+,past,0,yes
1,mówienia,pamięciowy,epistemiczny,+,+,brak,0,yes
1,mówienia,pamięciowy,epistemiczny,+,+,past,0,yes
1,mówienia,pamięciowy,epistemiczny,+,+,past,0,yes
?,mówienia,pamięciowy,epistemiczny,+,+,present,0,yes
performatyw,mówienia,pamięciowy,epistemiczny,+,+,brak,0,yes
performatyw,mówienia,pamięciowy,epistemiczny,+,+,brak,0,yes
performatyw,mówienia,pamięciowy,epistemiczny,+,+,brak,0,yes
performatyw,mówienia,pamięciowy,epistemiczny,+,+,brak,0,yes
1,pamięciowy,epistemiczny,none,+,+,past,0,yes
1,pamięciowy,epistemiczny,none,+,+,past,0,yes
1,pamięciowy,epistemiczny,none,+,+,past,0,yes
1,pamięciowy,epistemiczny,none,+,+,future,0,yes
1,pamięciowy,epistemiczny,none,+,+,past,0,yes
1,epistemiczny,none,none,o,o,past,1,yes
1,epistemiczny,none,none,o,o,past,1,no
1,epistemiczny,none,none,o,o,past,1,no
1,mówienia,none,none,o,?,past,0,no
1,mówienia,none,none,o,o,past,0,yes
1,mówienia,none,none,o,o,past,0,yes
1,mówienia,none,none,o,o,past,0,yes
1,mówienia,none,none,o,o,present,0,yes
1,mówienia,none,none,o,o,present,0,yes
1,mówienia,none,none,o,o,past,0,yes
1,mówienia,none,none,o,o,past,0,yes
1,mówienia,none,none,o,o,future,1,yes
1,mówienia,none,none,o,o,past,0,yes
1,mówienia,none,none,o,o,future,0,yes
1,mówienia,none,none,o,o,present,0,yes
1,mówienia,none,none,o,o,past,0,yes
1,mówienia,none,none,o,o,future,0,no
1,mówienia,none,none,o,o,past,0,yes
1,mówienia,none,none,o,o,past,0,yes
1,mówienia,none,none,o,o,past,0,yes
1,mówienia,none,none,o,o,future,0,yes
1,mówienia,none,none,o,o,future,0,yes
1,mówienia,none,none,o,o,past,0,yes
1,mówienia,none,none,o,o,past,0,yes
1,mówienia,none,none,o,o,past,0,yes
1,mówienia,none,none,o,o,past,0,yes
1,mówienia,none,none,o,o,present,0,yes
1,mówienia,none,none,o,o,past,0,yes
?,mówienia,none,none,o,o,brak,0,yes
?,mówienia,none,none,o,o,present,0,yes
?,mówienia,none,none,o,o,brak,0,yes
modalne,mówienia,none,none,o,o,present,0,yes
performatyw,mówienia,none,none,o,o,future,0,yes
1,mówienia,none,none,o,o,present,0,yes
1,mówienia,none,none,o,o,present,0,yes
1,mówienia,none,none,o,o,present,0,yes
1,mówienia,none,none,o,o,present,0,no
1,mówienia,none,none,o,o,present,0,yes
1,mówienia,none,none,o,o,past,0,yes
1,mówienia,none,none,o,o,present,0,yes
performatyw,mówienia,none,none,o,o,present,0,yes
1,emotywny,epistemiczny,none,+,+,past,0,yes
